Q3,Q4,Q5,Q6,Q7,Q8,Q16,Q40,Q37
Four Year Public College/University,Ph.D.,NA,2,21-35,I have taught in a blended online/in-person format previously.,5-6 days,NA,"Students liked my recorded lecture videos, including the ability to replay them. So content delivery went OK. It's not possible to assure academic integrity in online courses that use endpoint examinations (known workarounds are widely available for defeating proctoring software). As a result, I am trying to transition to more authentic means of assessment, such as recorded video presentations with Q & A, etc. Kits from Hands on Labs (HoL) would have met my learning objectives for labs, but HoL production bottlenecks and added student costs took them off the table. As a result, this summer, I will try conducting synchronous labs from home. Students will be responsible for specifying the parameters of my experiment runs (e.g., how much mass they want me to add to a cart, etc.). Not sure how this will go. I think it will insure engagement. Will try to make it fun - I've enlisted my wife to be my lab assistant!"
Four Year Public College/University,Ph.D.,"Hispanic-Serving Institution,Urban Institution",2,21-35,I have never taught online or in a blended format previously.,1-2 weeks,NA,I learned that online teaching is a poor substitute for f2f teaching. Less than half of the students are learning anything useful. Hope we can get back to doing what we are very good at doing - teach f2f.
Four Year Private College/University,Master's,"Minority-Serving Institution,Hispanic-Serving Institution",1,36-50,I have never taught online or in a blended format previously.,1-2 weeks,NA,"1. I believe I still have a lot to learn and to improve regarding my on-line teachings. 
2. Some students did much better during the on-line part of my class as they could not work and were at home most of the time, so I did not have compete with work for their attention. 
3. Other students got in financial trouble and worked 14 hour/day during the last three weeks of the semester having not enough time to work on the homework. 
4. Other students got a lot of issues with anxiety. 
5. All of my students got a lot of value for their tuition during the stay at home order and learned stuff that about adaptability and flexibility that we do not normally expose our student to."
Four Year Public College/University,Ph.D.,Urban Institution,1,200 or more,I have taught fully online previously.,3-4 days,NA,Preparing an online lecture is much more time-consuming than an in-person lecture.
Four Year Public College/University,Bachelor's,Minority-Serving Institution,2,101-200,I have never taught online or in a blended format previously.,5-6 days,NA,"I attempted to make the course as flexible as possible in case my students (many of whom are caregivers, parents, have part- to full-time jobs) were unable to continue synchronous attendance. I held lectures at the regular meeting times and recorded them, posting the recording after class and adding closed-captioning. I also posted the notes I went over in class each day, plus supplemental videos on concepts we were covering. 

Even though I'm at a MSI (with 2/3 women undergraduates), most physics classes remain predominately white and male. In general, my white male students continued to perform well in the course after the transition, while many of my women students and students of color struggled due to lower levels of privilege and access; e.g., to high-speed internet, time to devote to classes due to being ""essential personnel"" with increased work hours, family care obligations, and loss of in-person help at office hours. I fear this pandemic is going to disproportionately set back minoritized students, leaving a mark that continues the inequity and lack of representation already seen in Physics."
Four Year Public College/University,Ph.D.,"Minority-Serving Institution,Urban Institution",1,20-Nov,I have never taught online or in a blended format previously.,5-6 days,NA,"I spoke at length with my students about their experience, and based on our collective wisdom, I think that
while on-line teaching may have some advantages (snazzy demos, nice graphics, etc.) it does not have the advantages that eye contact and real time, face-to-face interaction with the class does, at least for advanced physics courses. Possibly for other courses, or in other disciplines, a hybrid model amy have an advantage."
Four Year Public College/University,Ph.D.,Urban Institution,2,21-35,I have never taught online or in a blended format previously.,1-2 weeks,NA,From student responses it is extremely important to be synchronous. It provides structure for the students and helps keep them engaged. Numerous students mentioned this in emails. I taught both quantum mechanics and general relativity this way.
Four Year Public College/University,Ph.D.,NA,1,101-200,I have never taught online or in a blended format previously.,1-2 weeks,NA,"I was not only teaching a large (>100) person intro class, but it was one of many sections and we all had to make coordinated decisions. Therefore, I found myself doing a Zoom-proctored, Moodle-delivered exam that was not my choice of evaluation. We had no time to test and make good decisions, and it was too hard to come to consensus remotely. For my own class this fall, I will move completely away from a proctored exam structure, and towards frequent, smaller-stakes, and more standards-based evaluations. Neither students nor faculty were prepared for the situation, and little material was taught or learned well once we went to online teaching."
Four Year Public College/University,Ph.D.,Rural Institution,1,51-100,I have never taught online or in a blended format previously.,1-2 weeks,NA,The greatest challenge for me was gauging real-time how students were following the lecture.
Four Year Public College/University,Ph.D.,NA,1,51-100,I have never taught online or in a blended format previously.,1-2 weeks,NA,"Assessment (especially exams) is the biggest challenge. Faculty *as well as* students are very concerned about cheating, which is rampant."
Four Year Public College/University,Ph.D.,Hispanic-Serving Institution,1,101-200,I have taught fully online previously.,1-2 weeks,NA,"I transitioned to teaching online years ago and I appreciate having multiple years to learn Canvas, work with Zoom, and experiment with other online teaching tools.  The COVID-19 crisis has forced instructors to confront a steep learning curve in a very short period, so kudos are deserved to all instructors who have navigated that challenge successfully.  Still, our successful response today rests heavily on the shoulders of teaching innovations and technology refinements that have been accelerating over the past decade.  Without those, the transition would not have been possible."
Four Year Public College/University,Ph.D.,"Minority-Serving Institution,Urban Institution",2,101-200,I have taught fully online previously.,1-2 weeks,NA,"Having taught online courses in the past, and since I had video-making experience and software and the needed tech hardware too, I was lucky to have great peace of mind going into the remote teaching phase (which for us was the last 5 weeks of our semester, 9 weeks having been completed face-to-face and one week cancelled to create a 2-week ""spring break"" for preparations.

Here is an important phrase for you and everyone to consider: Remote TEACHING is easy enough; however I found that Remote ASSESSMENT is nearly impossible to do reliably.  I'm not seeing enough discussion about that.  Chegg.com and the likes are a big problem for the STEM classes."
Four Year Public College/University,Ph.D.,NA,2,20-Nov,I have taught in a blended online/in-person format previously.,5-6 days,NA,"Apart from expensive tablet platforms, such as iPad, there is no good tool to write equations and draw diagrams or figures. In physics, this is by far the greatest impediment in delivering the material. Online instruction cannot be easily adapted to a dynamic teaching style in which the instructor draws the students in the discussion."
Four Year Private College/University,Master's,NA,3,21-35,I have taught fully online previously.,5-6 days,NA,Four physics instructors teaching the same class - no hope of agreeing on a way to transition. It was everybody for themselves.
Four Year Public College/University,Bachelor's,"Hispanic-Serving Institution,Urban Institution",4,21-35,I have never taught online or in a blended format previously.,1-2 weeks,NA,"I learned that teaching online is NOT what it is cracked up to be.  Most of my students need more face-to-face time, not less.  If we are to establish a ""community-of-learners"" online is NOT the way to do it.  And, a number of students have figured out how to ""game the system"" (cheat)  to inflate their grades.  This is unfair to serious students.  And, I am uncomfortable ""passing"" students who are clearly under performing and under prepared to advance.  This puts an enormous burden on faculty teaching follow-on courses and degrades the college degree.  It certainly does not convey to the student their deficiencies, as well as, and undermining the purpose of college and the college experience.  It feeds into the perception that college is a ""credentialing"" process not an educational process."
Four Year Public College/University,Bachelor's,Rural Institution,1,21-35,I have never taught online or in a blended format previously.,1-2 weeks,NA,I had to lower my expectations somewhat and make virtual labs that were probably not as rigorous as I would have been in the classroom. I also had to be understanding of the students technology situations. The students did entirely buy in though. The result was much higher grades than I typically give.
Four Year Public College/University,Ph.D.,NA,1,36-50,I have never taught online or in a blended format previously.,1-2 weeks,NA,"By far the most important aspect in the transition was to make myself available for the students on Zoom as often as possible. Recording the lectures helps. New platforms help (though I would argue that complexity should be minimized). However, letting the students know, repeatedly, that you will find time to meet with them, was crucial. I did so sometimes during the weekends, sometimes late after dinner, and I would occasionally find them in small Zoom groups trying to understand the material or wrestling with a mathematical proof that I assigned in class. Those extra interactions where each person was connecting from their own room, made a big difference, and were greatly appreciated."
Four Year Public College/University,Ph.D.,NA,1,36-50,I have never taught online or in a blended format previously.,1-2 weeks,NA,"This experience has been singularly exhausting.   Everything is more work, and everything takes more time, with considerably less personal satisfaction in the job, and less effective results."
Four Year Public College/University,Bachelor's,NA,4,101-200,I have never taught online or in a blended format previously.,3-4 days,NA,"I miss seeing my students and the good-natured banter that accompanied Q&A sessions.  I did receive, though, a number of very positive comments after the course ended from students who wanted to offer thanks for how I handled things.  I'll be teaching totally online in summer.  I'm pretty confident now about the main class, but pretty antsy about the labs that students will be doing at home.

By the way, I'll retire at the end of summer, and this is for me a weird way to end an almost 40-year career."
Four Year Private College/University,Ph.D.,Urban Institution,1,10-Jun,I have never taught online or in a blended format previously.,4 or more weeks,NA,"I think, a transition to on-line education would have happened even without a pandemics: the time was ripe.
My prediction is that on-line education will continue on a much higher level than before the pandemics."
Four Year Public College/University,Ph.D.,"Minority-Serving Institution,Hispanic-Serving Institution",1,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,NA,"The most useful advice I found was to not treat transitioning to online teaching like designing an online class from scratch. My goal was to replicate the interactions and assessments that happened face to face as well as possible. That helped me get off the ground quickly in planning and communicating my plans to students. I also had the benefit of one class period in person before we went online when I knew the switch was happening, which let me do a test run of Zoom with my students physically in the room, and I think that was very helpful for them."
Four Year Private College/University,Bachelor's,Urban Institution,3,21-35,I have never taught online or in a blended format previously.,3-4 days,NA,"When I first learned about the possibility of going online, I googled best practices for online teaching in general and Physics in particular. I decided to make short lecture and example problem videos that my students could watch asynchronously. For synchronous discussion we used Zoom. On a typical day I would post some discussion questions to be answered via the polling feature, which would often lead to a good discussion, then I would put students into ""Breakout Rooms"" and they would either work on a problem or on a computational project. It worked quite well. Homework was from the book, assigned every class day and due the next class day - but I was much more flexible with late work than I usually am."
Four Year Private College/University,Ph.D.,NA,1,36-50,I have never taught online or in a blended format previously.,5-6 days,NA,"The course I took online was a second year math and computational methods course for physics majors. It combines traditional mathematics instruction (lectures, discussion sections, written weekly homework) with complementary scientific programming in Python (two intro interactive lectures, weekly Jupyter homework). The programmatic part was already provided through a course JupyterHub server and we already used Piazza for class discussion and a simple HTML website which I maintained for assignments, lecture notes, etc. The only things we did to go online were: 
1. Switch to Zoom lectures (recorded for those in different time zones) in which I asked students to either interrupt or use the group chat to ask questions/discuss and did 1-2 simple zoom polls per lecture.
2. Have homework submitted as scanned PDFs (we encouraged students to use camscanner or equivalent) to a Dropbox file request link. We marked up these PDFs with iPads to grade them and emailed them back out.
This worked fine.

The biggest problems:
1. Going to essentially untimed take home exams (24 or 48 hours) to accommodate multiple time zones meant that I had to write them to be hard to use the internet for cheating. This made them hard exams but mostly seems to have worked. Of course, we can't guarantee that students didn't get help but that's essentially impossible.
2. Peer-to-peer learning (eg. through working on homework together in the undergrad physics lounge, etc) is essentially lost."
Four Year Public College/University,Ph.D.,"Urban Institution,Women's College,Men's College",1,200 or more,I have never taught online or in a blended format previously.,5-6 days,NA,Transition was somewhat easy since taught small (14 students) upper-level class attended mostly by physics majors and physics graduate students.
Four Year Public College/University,Ph.D.,"Minority-Serving Institution,Hispanic-Serving Institution,Black-Serving Institution,Urban Institution",1,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,NA,"Online teaching is a very poor substitute for face-to-face contact.  Education cannot be mass roduced, particularly at the upper levels of physics.  We do online because we have to, not because it makes eduational sense."
Four Year Public College/University,Ph.D.,Rural Institution,1,101-200,I have never taught online or in a blended format previously.,1-2 weeks,NA,I didn't like the transition. It was very difficult to tell if the students were engaged.
Four Year Public College/University,Ph.D.,Urban Institution,2,51-100,I have never taught online or in a blended format previously.,1-2 weeks,NA,"Interestingly enough, students hated online classes - not just the physics classes, all online classes. They especially disliked asynchronous classes. It is hard to give short quizzes or exams online - not all but some students just copied from the web or tried to pay for someone to solve their exams."
Four Year Public College/University,Ph.D.,Urban Institution,1,51-100,I have never taught online or in a blended format previously.,3-4 days,NA,"o depending on content lectures were either pre-recorded and posted on a University server or conducted as a video conference using Zoom if interaction was needed. While I have a lot of positive experience with doing research using video conferences it seems challenging to get good class participation in a video conference. Lot's of responses and questions in the chat window but few speak up. 
o However, in the so-called weekly writing labs my TAs succeeded to get very active participation. Key seemed to be setting up break out rooms with small groups working on small in class projects."
Four Year Public College/University,Ph.D.,NA,1,101-200,I have never taught online or in a blended format previously.,1-2 weeks,NA,All in all it went as well as I could have hoped and certainly much better than I feared. I am very curious to see the student evaluations.
Four Year Public College/University,Bachelor's,NA,2,51-100,I have taught fully online previously.,3-4 weeks,NA,"The transition was smooth. I happened to be teaching the two courses I have taught online in the summer for several years so I had most of the material I needed already prepared. Some adaptation of it was required, but not much. On the surface, student assessed performance did not change in any obvious way. I do worry about things that are not easily tangible that do not get communicated well online and the lab experience is not nearly as rich. This is true both for the COVID influence semester and the previous summer classes I have taught."
Four Year Private College/University,Ph.D.,"Minority-Serving Institution,Hispanic-Serving Institution",1,36-50,I have taught in a blended online/in-person format previously.,1-2 weeks,NA,"Feedback from students, and their final exam that I just graded, both confirm what we already knew: remote teaching does not and cannot replace face to face teaching:
https://www.youtube.com/watch?v=GEmuEWjHr5c
I've received multiple teaching and outreach awards in the past, and good teaching has been a lifelong interest. My teaching workload tripled as I tried to provide some semblance of a reasonable education for my students, even though it detracts from my tenure case."
Four Year Public College/University,Ph.D.,NA,4,51-100,"I have taught fully online previously.,I have taught in a blended online/in-person format previously.",0-2 days,NA,I made the new expectations very clear and told my students repeatedly that at all times they should feel they know what is going on in the course.
Four Year Public College/University,Ph.D.,NA,1,51-100,I have taught fully online previously.,1-2 weeks,NA,"During the two weeks we had to prepare I wanted to make sure that technical glitches would not eat into class time.   (Invariably they did, but were minimized).   Synchronous learning was something that both the class and I wanted-it helped somewhat to preserve the community feel .  However there was much  less peer discussion during Zoom classes.  To facilitate discussion, I would walk away from the meeting for about a minute and I could hear a louder buzz among students. We tried breaking into smaller groups and reconvening but that was clunky so gave up on that.  I like the fact that I could record my class and post it together with the document camera class notes.  But my entire class and I missed the face to face interaction-I could not gauge their understanding, be on the alert for puzzled looks and the feeling of a tight knit community was lost."
Two Year Public College,Associate degree,Minority-Serving Institution,5 or more,21-35,"I have taught fully online previously.,I have taught in a blended online/in-person format previously.",1-2 weeks,NA,"Since faculty were instructed to teach ""remotely"" with only 1 week to prepare, I developed steps to achieve a full implemented plan by week 3 of the shut-down. Week 0, Developed policy, syllabus changes, and professor contact information. Adjusted calendar of class meetings and learning objectives for those class meetings (adding online responsibilities for students), sent a ""Changes to Course Number XXXX"" notice email to all students. Delivery technology beta testing (camera, laptop choice MAC or PC, bandwidth available at my home provided by Xfinity (Speakeasy speed test), and preparation of lecture materials for audio and video recording. Finally, I prepared 5 class sessions (scanned handouts-PDF, made notes to self to be more demonstrative in my voice delivery so to keep the attention of the students and typical review of lecture material prior to class).  These five classes were ""audio only"" lectures and to be delivered asynchronously. The purpose of the audio lectures was to meet institutional goals (ready to start online/remote delivery by Week 1) and to allow me prepare to add the video component for Week 2.  Week 1, students gained access through D2L and navigated to the News portal. Here they received a Power Point slide package for the day's lesson and my audio lecture. While students were signing on each class period and sending me questions (if any),  Also during Week 1, I was practicing and recording the lessons for analysis and mastering (what I could) a live delivery system, sharing PowerPoints, simulations, and videos for Week 2 delivery. AT this time, I made changes to my office at home and made a ""educational video studio"". The area needed to be a quiet place away from pets and people, neutral background, and comfortable because this is my classroom for the two months averaging 3 three classes a day. (Don't forget to have your coffee/water/etc. available.) After a few tries, I was feeling confident using Zoom and sharing other video components and ready to go live during Week 2. Week 2 had its challenges (not all students could do synchronous, students did not have handouts/observation lab sheets available, students needed ""handholding"", others were not engaged. During this time,  I performed many hours outside of class dealing with student's inability to manage the technology (connection speed, can't locate the lesson/lab, or simply not attending class). I went on a recruiting campaign to ask those, who were not attending, to return to class. Prior to my request, I only had 50% attending, after the request, 80%. By the end of the semester, 88% were attending, remaining students dropped the course. Week 3, the course dynamics smoothed and the delivery felt more face to face. The students were familiar with the  delivery system and were learning. I did notice a drop in median test scores from face-to-face delivery to online lecture/testing of +/- 10%,  (median= 82% to 75%) across all sections. I conclude this to be a case ""online student fatigue"" with those students taking more than one online course as opposed to students taking just one. I continued the Week 2 approach through the final week of the course meetings. I recently completed the semester and happy to decompress. I am sure I will reflect on this time and discover other revelations as my recollections become clearer."
Four Year Private College/University,Ph.D.,NA,1,51-100,I have never taught online or in a blended format previously.,1-2 weeks,NA,"You said 5-7 minutes, and I've spent that already. Sorry!"
Four Year Public College/University,Ph.D.,Rural Institution,2,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,NA,"Enough of my students had issues at home or were homeless so I changed my instruction to be as equitable as possible and allow them the greatest chance of success. Knowing enough about their lives was essential to my choice of human care over just plain learning the info. I lowered my content goals and don’t mind at all. In addition, I moved from a participation mindset (group work, upper division tutorials, social learning, research based tools) to one of proficiency (but with repeated attempts at solving problems, revisions on exams, etc). The point was to help them eventually arrive at the right place and to help them get there. But half my class never turned in a thing except for the exam and final, meaning no hw, because of other life circumstances (no WiFi at home, no space to work in the trailer, no home, job requirements, depression, quarantine, etc.)."
Four Year Public College/University,Ph.D.,NA,1,21-35,I have never taught online or in a blended format previously.,1-2 weeks,NA,Online instruction is a complete failure.
Four Year Public College/University,Ph.D.,NA,2,20-Nov,I have taught in a blended online/in-person format previously.,0-2 days,NA,"Sharing experiences, ideas, discussions on faculty list-serve email became hugely active and useful. All levels participated and across whole university.

Prep-time is extremely long compared to in person teaching.

Students preferred asynchronous modules built around mini lectures. But very time consuming to make.

Used Live class presentations for end of term project. Worked so well that I would use much more in future. 

Pressure to produce “clean” takes is tough. Every mis-step is going to be watched over and over. 
"
Four Year Private College/University,Ph.D.,Urban Institution,1,101-200,I have taught in a blended online/in-person format previously.,3-4 days,Tenured faculty with research expectations,"I have been teaching a flipped course for several years, so the switch to online had no impact as far as the preparatory videos, learning checks, and homework. In class meetings students work in groups and, when in person, undergraduate assistants and I move from group to group to discuss the material.  We had to emulate the latter using Zoom breakout sessions.  The limitations of the system meant that I functioned as a traffic cop, steering assistants to individual group breakout rooms.  I was no longer able to devote any time to answering questions myself.  We ran a new separate section for students in an Asian time zone.  Fortunately, one of our assistants was also in such a time zone.  Providing a secure exam was a challenge.  I wound up using Qualtrics, with multiple choice questions delivered to students in random order and not allowing students to go back to a previous question. Extra problems were added to make up for the student not being able to go back, (which was bad on its own and also meant students had to worry more about time management). Students taking the exam were simultaneously logged onto a Zoom session with their mics on (but not video- too intrusive)."
Four Year Public College/University,Ph.D.,Urban Institution,1,101-200,I have never taught online or in a blended format previously.,1-2 weeks,Tenure-track with research expectations,I eased the edge off the course by offering lots of extra credit. The students seemed to really appreciate it.
Four Year Public College/University,Ph.D.,Rural Institution,1,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"In face-to-face instruction, I used many active learning techniques explored by physics education research (PER). E.g., flipped classroom (in the style of Just-In-Time Teaching), Perusall textbook readings, tutorials and group problems during class time. Some of these were unaltered by the switch to online instruction (e.g., Perusall, flipped classroom). Some I continued using, but without the face-to-face contact it was less clear how well they worked (e.g., tutorials, in-class practice problems)."
Four Year Public College/University,Ph.D.,NA,1,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"lab portion was completely absent.  No way to do in person instruction-no way to substitute.  Physics of music
which relied heavily on ensemble playing/experience."
Four Year Public College/University,Ph.D.,NA,1,200 or more,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"I was co-teaching a first-year seminar with an Art History professor.  Getting first-year students to engage in discussion on ""scary"" topics like physics and art was difficult face-to-face, but nearly impossible via Zoom."
Four Year Public College/University,Ph.D.,NA,1,36-50,I have never taught online or in a blended format previously.,0-2 days,Tenure-track with research expectations,"I was teaching a 'flipped' 'active learning' introductory physics class aimed at our biology majors. This class has zero lectures and spends class time involved in group work and full class discussions. We switched to online and kept our usual activities within Zoom breakout rooms and whole class Zoom discussions. We modified our instructor/LA interaction protocols and our group sizes. Overall we tried to maintain our usual interactive class structure. 

Our attendance was nearly full. Participation rate in class was harder to judge. 

But our final exam results and scores were disappointing: low scores, wide distribution and lack of score correlation with prior scores for the same students in the semester. Overall we were left with broad concerns about how effectively students learned after they left campus. We were also concerned if our final assigned letter grades were meaningful given the circumstances. There was also evidence of substantial cheating on the online administered exams, though very hard to judge the scope."
Four Year Public College/University,Ph.D.,Urban Institution,2,10-Jun,I have never taught online or in a blended format previously.,1-2 weeks,Full time instructional faculty without tenure,"Because I had a small class which was already discussion based, the transition was fairly smooth.  My students already had a GroupMe for the class and I encouraged them to use it (more than I normally would).  A few things I tried didn't work as well as I liked - they involved modifying a plan because of lack of equipment.  Other modifications, such as doing some peer evaluation, worked well and I will include in the future regardless of meeting structure.

Side note:  I was also heavily involved with the transition of our Introductory courses (both sequences) but have not commented on that in this survey since you were specifically asking about what I taught not what I transitioned."
Four Year Public College/University,Bachelor's,Rural Institution,3,51-100,I have never taught online or in a blended format previously.,5-6 days,Full time instructional faculty without tenure,"It was horrible, spent way too much time trying to prevent cheating on exams, changing assignments to be multiple guess while programming them into blackboard, and answering emails. 
Cheating: every method I have seen to prevent online cheating of exams, can be bypassed by a creative mind.
Multiple choice: I believe, takes away from critical thinking skills, when learning new material.
Excess emails: mostly due to either students not being able to get a face-to-face answer, students thinking I am a mind reader, and multiple emails have to be sent, since students do not send the information needed to answer their question."
Four Year Public College/University,Bachelor's,NA,2,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Tenure-track with research expectations,"It went very well and the students seemed mostly happy.  There were definitely things I learned that I would do differently, but considering we were thrown into it unexpectedly in the middle of the term, it went extremely well."
Four Year Public College/University,Ph.D.,Urban Institution,2,101-200,I have never taught online or in a blended format previously.,1-2 weeks,Full time instructional faculty without tenure,"The biggest problem was the online exam.  I caught about 130 students cheating online using Discord during our exam (we prohibited collaboration for the short answer part of the exam which was worth 40 of 100 points - the rest of the exam the students were allowed to collaborate on).

I considered using respondus, but we were not allowed to require that students have webcams, and without recording students, respondus is too easy to get around (just google ""how to cheat with respondus"").  

For the Fall, we are again going with online instruction.  For an introductory physics course, I have no idea how to produce an exam which can accurately asses student performance due to the ease of cheating online, unless I were to spend an inordinate amount of time at it."
Four Year Public College/University,Bachelor's,Rural Institution,3,51-100,I have never taught online or in a blended format previously.,1-2 weeks,Tenure-track instructional faculty,"The only hurdle I faced was dealing with labs. The other components of my course I continued as is. I had already had pre-recorded prelectures and prelecture quizzes that students completed. This continued. For lecture I continued as normal, but delivered via zoom. I used zoom breakout rooms to allow students to discuss think-pair-share questions and complete group work. Students voted via the zoom vote tool."
Two Year Public College,Associate degree,Urban Institution,4,21-35,I have never taught online or in a blended format previously.,5-6 days,Tenured instructional faculty,"Initially I emailed students tests and required them to write down their answers and include all calculations and then scan the tests and return to me (I always give partial credit for problem solutions).
I soon discovered that this method is not feasible due to rampant cheating.  Apparently solved problems from virtually all recent textbooks are available online! In my next online course, I will use Blackboard timed multiple choice qustions to (hopefully) reduce cheating."
Four Year Public College/University,Ph.D.,NA,2,51-100,I have taught in a blended online/in-person format previously.,1-2 weeks,Tenured faculty with research expectations,I suspected a transition would occur. I and my colleagues in the research group therefore started looking at different ways to deliver lectures and give tests on-line about 3 weeks in advance. We had a strategy  a week before the announcement.  Then it was just to implement this.
Four Year Public College/University,Bachelor's,Rural Institution,2,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Tenured instructional faculty,"I primarily recorded and posted lectures for the students to watch.  They were required to post a question after each lecture to the discussion board, and there were often attached short assignments that went along w/ each lecture.  Students also had online HW each week as well as an online lab.  
While I think this worked OK, I miss the student interaction of a face-to-face class as well as the ability to judge when the students are confused and need additional instruction.  I also don't feel they got as much from the simulation labs as they would from a true hands-on lab."
Four Year Private College/University,Bachelor's,Rural Institution,3,36-50,I have taught in a blended online/in-person format previously.,3-4 days,Tenured instructional faculty,"I was already using peer instruction with iclicker cloud software in face-to-face lectures. Before the transition, I was following the news closely and asked my students what format they would prefer if face-to-face meetings were not possible. They thought I was joking, but then our state's stay at home order came just a few days afterward. My preference was asynchronous Khan Academy-style lectures so that students with less internet bandwidth could still participate without missing anything, but I had enough people who wanted synchronous lectures that I found a middle ground. I record a 15-minute mini-lecture and post it for students to watch asynchronously, then we meet synchronously for about half the time we did before, where we still do the peer instruction with iclicker cloud software. Learning Zoom was a little stressful, but once I got it figured out I don't mind it so much. Feedback from students has been very positive. We finished one semester that way, and we're about 25% through our ""spring"" semester, which will be remote from start to finish."
Four Year Public College/University,Ph.D.,Minority-Serving Institution,4,101-200,I have taught fully online previously.,3-4 days,Full time instructional faculty without tenure,"Testing is problematic in a large class.  I have no way to proctor that many online students.  Cheating is rampant.  Also, I teach astronomy; labs are difficult online.  There are also no options for real-time observations with telescopes online.  You cannot recreate the experience of being under the night sky."
Four Year Public College/University,Ph.D.,NA,1,10-Jun,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,lack of prep time for he transition made it extra hard to transit from F2F to onlone.
Four Year Public College/University,Bachelor's,NA,3,51-100,I have never taught online or in a blended format previously.,3-4 days,Tenured faculty with research expectations,"I think that 5-10% of students at my university could do well with online learning.  The rest do not have the self discipline to learn physics by online courses.  My fellow faculty and I saw class attendance of online lectures drop by 75% after transition to online learning.  Also, about 35-50% of students simply stopped turning in assignments or taking tests.  It seems that without someone to hold their hands in-person through the process of learning, the majority of students at my school flounder.  This was true both in the introductory physics courses as well as the upper level undergrad physics courses.  Maybe it's different at R1 schools, but we were an R3 school reclassified as an R2 in 2018, so our student body may be different.  As an aside, I was very worried that my transition of my upper level E&M class to online learning this spring was horribly ineffective.  At the end of the semester I asked my students to fill out a COVID-19 response survey for extra credit.  Their responses indicated that my online course transition was among the best they had at the university.  I don't know whether to be pleased about this or worried again."
Four Year Public College/University,Ph.D.,NA,2,200 or more,I have taught in a blended online/in-person format previously.,1-2 weeks,Tenured faculty with research expectations,"Because I regularly teach large classes, two sections of a class with between 150 and 300 students, I have used online and digital tools for many years. The main transition this semester was the creation of recorded video lectures as asynchronous replacements of, or supplements to, the synchronous classes that continued to be held. Planning, scripting, recording, re-recording when I messed things up, organizing, and posting with embedded questions of the videos resulted in something like doubling or tripling of the prep time for lectures.

Quizzes and tests were also difficult. Although I tried to do some things to reduce cheating, all of the questions on the tests ended up on Chegg. Because of the emergency nature of this past semester, I did not do a lot to pursue this academic misconduct."
Four Year Public College/University,Ph.D.,NA,1,20-Nov,I have never taught online or in a blended format previously.,3-4 weeks,Part-time or Adjunct faculty,My style of teaching lends itself to on-line classes. My serious complaint is that Canvas and Zoom keep changing. Using them is like shooting at a moving target.
Four Year Private College/University,Bachelor's,"Minority-Serving Institution,Rural Institution",2,36-50,I have never taught online or in a blended format previously.,3-4 days,Full time instructional faculty without tenure,"Prior to COVID-19, I was using a flipped classroom format for instruction in my face-to-face classes. The technology tools provided through the university (Zoom) has facilitated an easy transition to remote synchronous learning. The key features include the breakout rooms and built in screen sharing and whiteboard functions (with an appropriate drawing device). In my case, I open the zoom meeting on my laptop, which is where I control such things as participants and breakout rooms. I also join the meeting on an iPad, which combined with a high quality stylus, makes whiteboard work a breeze.

My experience has been that the transition from face-to-face to remote synchronous instruction has been pretty seamless. Furthermore, up to this point in our current semester, student engagement and performance is comparable to face-to-face classes.

The biggest concerns we have in our department are (1) how to incorporate laboratory type activities, and (2) the loss of the peer support structure among upper division majors (our department has a dedicated majors room where a lot of collaboration on coursework and positive socializing takes place)."
Four Year Private College/University,Ph.D.,"Minority-Serving Institution,Urban Institution",2,51-100,I have never taught online or in a blended format previously.,3-4 weeks,Tenured faculty with research expectations,"I started using a graphics tablet/computer projector for lectures about 5 years ago, after a knee injury, and found that the students can see it better, and the lecture notes can be saved for students with 'note-taking' accommodations.  Transitioning it to Zoom is just a ""screen share"". I typically have 3-5 research Zoom meetings per week for the past several years, so it's familiar territory. 
The upper-level physics courses I mostly teach have a strong component of homework, and last Fall I put in a lot of work generating new homework problems for the main course I teach. I plan on, but haven't yet, done any online exams."
Four Year Public College/University,Ph.D.,NA,1,101-200,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"I was lucky as I had a small (11) class size. I was familiar with zoom which I use for research related matters, so transition was not difficult. Certainly nervous about doing this for a large class."
